Accuracy RS WS N K
39.6552 7 15 40 500
43.7931 7 15 40 1000
45.8621 7 15 40 1500
41.7241 7 15 40 2000
43.7931 7 15 50 500
43.7931 7 15 50 1000
41.0345 7 15 50 1500
41.0345 7 15 50 2000
48.6207 7 15 60 500
43.1034 7 15 60 1000
41.7241 7 15 60 1500
45.1724 7 15 60 2000
45.1724 7 15 70 500
45.8621 7 15 70 1000
42.4138 7 15 70 1500
43.1034 7 15 70 2000
41.7241 7 15 80 500
43.1034 7 15 80 1000
43.1034 7 15 80 1500
44.4828 7 15 80 2000
41.7241 7 17 40 500
45.8621 7 17 40 1000
44.4828 7 17 40 1500
45.8621 7 17 40 2000
43.1034 7 17 50 500
41.0345 7 17 50 1000
39.6552 7 17 50 1500
40.3448 7 17 50 2000
45.8621 7 17 60 500
45.8621 7 17 60 1000
46.5517 7 17 60 1500
43.1034 7 17 60 2000
44.4828 7 17 70 500
41.7241 7 17 70 1000
48.6207 7 17 70 1500
41.7241 7 17 70 2000
43.1034 7 17 80 500
41.7241 7 17 80 1000
41.7241 7 17 80 1500
45.1724 7 17 80 2000
